,M,L,K,Q,chords
I,6/8,1/8,G,3/8=120,"D|""G""GBA G2B|def gdB|GBA G2B|""D""AFD AFD|""G""GBA G2B|def gfg|
edB ""D""dBA|""G""BGG G2:|d|""Em""efe edB|""D""def gfg|""Em""efe edB|
""D""dBA ABd|""Em""efe edB|""D""def gfg|""G""edB ""D""dBA|""G""BGG G2:|"
I,6/8,1/8,Ador,3/8=120,"G|""Am""EAA AGA|Bcd e2f|""G""~g3 ege|dBA GFG|""Am""EAA AGA|
Bcd e2f|""G""~g3 edB|""Am""A3 A2:|a|""Am""aea aea|
aga b2a|""G""~g3 ege|[1 dBA G2a|""Am""aea aea|aga b2a|""G""~g3 edB|
""Am""A3 A2a:|[2 dBG BAG|""Am""EAA AGA|Bcd e2f|""G""~g3 edB|""Am""A3 A2|]"
I,6/8,1/8,G,3/8=120,"B/2c/2|""G""d^cd e2d|""Em""B^AB d2B|""Am""A2A ""D7""AGA|""G""B2A GBc|
d^cd e2d|""Em""B^AB d2B|""Am""ABc ""D7""B2A|""G""G3 -G2:|
d|d3 def|""Em""g3 gfg|""Am""a3 ""D7""aga|""G""b2a ""D7""gfe|
""G""d3 def|""Em""g3 gfg|""Am""a2g f2e|""D7""def ""G""g2:|
d|gbg dgd|BdB GBG|""D7""FGA DEF|""G""G2B ""D7""def|
""G""gbg dgd|BdB GBG|""D7""FGA DEF|""G""G3 -G2:|"
I,6/8,1/8,G,3/8=120,"|:E2E G2A|B2A Bcd|D2D F2G|ABA AFD|
E2E G2A|B2A Bcd|eBB B2A|BEE E3:|
e2f g2e|fag fed|e2f gfe|fdB Bcd|
e2f g2e|fag fed|edB cBA|[1 BGE EDE:|[2 BGE +B3E3+|]"
I,6/8,1/8,D,3/8=120,"D2E|:~F3 AFE|FDB, A,B,D|~F3 ~G3|BdB AFE|
~F3 AFE|FDB, A,B,D|FEF GFG|BAF D2:||
e|:fed dcd|edc Bdg|fef dcd|ABF A2e|
fed dcd|edc Bdg|fef gec|dAF D3:|"
I,6/8,1/8,G,3/8=120,"|:DGG BGG|dGG BGG|DFA DFA|DFA cBA|
DGG BGG|dGG BAG|DFA cBA|AGF G2z:|
|:Bdg bgg|aff gfe|Ace aba|gag fdc|
Bdg bgg|aff gfe|ABc ecA|AGF G2z:|"
I,6/8,1/8,G,3/8=120,"D|""G""G3 GAB|""Am""ABA ABd|""G""edd gdd|""D""edB dBA|""G""GAG GAB|
""Am""ABA ABd|""G""edd gdB|""D""AGF ""G""G2:|A|""G""B3 dBd|""C""ege ""G""dBG|
""G""B3 dBG|""Am""ABA AGA|""G""B3 dBd|""C""ege ""G""dBd|gfg ""Am""aga|""G""bgg g2:|"
I,6/8,1/8,G,3/8=120,"D|""G""G3 GAB|""Am""ABA ABd|""G""edd gdd|""D""edB dBA|""G""GAG GAB|
""Am""ABA ABd|""G""edd gdB|""D""AGF ""G""G2:|A|""G""B3 dBd|""C""ege ""G""dBG|
""G""B3 dBG|""Am""ABA AGA|""G""B3 dBd|""C""ege ""G""dBd|gfg ""Am""aga|""G""bgg g2:|"
I,6/8,1/8,G,3/8=120,"d|""G""gfg ""C""ege|""G""dBG ""C""AGE|""G""DGG ""D7""FGA|""G""BAG ""D7""A2d|
""G""gfg ""C""age|""G""dBG ""C""AGE|""G""DGG ""D7""FGA|""G""BGG G2:|
d|edd gdd|edd gdd|ede ""C""gfe|""Am""dcB ""D7""A2d|
""G""gfg ""C""age|""G""dBG ""C""AGE|""G""DGG ""D7""FGA|""G""BGG G2:|"
I,6/8,1/8,Edor,3/8=120,"|~E3 BEB|EBE AFD|~E3 BEB|dcB AFD|
~E3 BEB|EBE AFD|~G3 FGA|BAG FED:|
Bee fee|aee fed|Bee fee|fag fed|
Bee fee|aee fed|gfe d2A|BAG FED|
Bee fee|aee fed|Bee fee|faf def|
~g3 gfe|def g2d|edc d2A|BAG FED|]"
