,M,L,K,Q,chords
I,3/4,1/8,A,1/4=90,"d cB|""A""A3B AF|""D""D2 DF ED|""A""E2 ec BA|""E7""B3c BA|
""D""FA2B AF|""Bm""D2 DF ED|""A""E2 F2 A2|[1 ""E7""E3d cB:|[2 A2 c2 e2||
""F#m""a6|""C#m""g6|""Bm""f3g fe|""A""ce3 ce|
""F#m""f2 fg fe|""A""c2 ec BA|""Bm""BA F2 c2|""E7""B3d cB|
""D""A3B AF|""Bm""D2 DF ED|""A""E2 ec BA|""E7""B3c BA|
""D""FA2B AF|""Bm""D2 DF ED|""A""E2 F2 A2|""A""A6|]"
I,3/4,1/8,G,1/4=90,"D|:""G""G2 GB dB|""Gmaj7""G2 GB dB|""G6""d2 b3a|""Gmaj7""g2 fg ef|
""G""G2 GB dB|""G6""G2 GB dB|""D7""D2 F2 A2| c2 B2 A2|
""G""G2 GB dB|""Gmaj7""G2 GB dB|""G6""d2 b3a|""Gmaj7""g2 fg ef|
""G""dg3 Bc|""D7""cd dc AF|""G""G2 B2 ""D7""BA|[1""G""G4zD:|[2 ""G""G3g fg||
|:""D7""a2 f2 d2| A2 F2 D2| ""G""C2 b3a|""Gmaj7""g2 fg ef|
""G""d3e d2| ""Em""B3A B2| ""D""D2 F2 A2| ""D7""c2 B2 A2|
""G""d2 Bc dB|""Gmaj7""db3 af|""G6""gb3 af|""Gmaj7""ga fg ef|
""G""dg3 Bc|""D7""cd dc AF|""G""G2 B2 ""D7""BA|[1""G""G3g fg:|[2""G""G6|]"
I,3/4,1/8,G,1/4=90,"GA|:""G""B3B AG|AB GA Bd|""C""e2 ed BA|Bd A2 AB|
""G""G3 B AG|""C""EG DE GA|[1 ""Em""B2 dB ""Am""AG|""D7""A4 GA:|
[2 ""Em""B2 BG""D7""AG|""G""G4 BA||
G3 A Bd|""Em""e3 d ef|""G""g2 gf ed|""C""eg""D7""d2 ed|
""G""B2 dB AG|AB GB AG|""Em""E2 ED B,D|""Am""E3 D ""D7""EF|
""G""G3 F GA|""Em""B3 G Bd|e2 ed BA|
""G""Bd A2 AB|G3 BAG|""C""EG DE GA|""D7""B2 BG A2|""G""G4|]"
I,3/4,1/8,D,1/4=90,"A, DE|: ""D""F4 F2| ""Dmaj7""F4 FE|""D6""F2 A3B|""D""AF D2 D/2E3/2|
""D""F2 d2 ""G""B2| ""D""A3D ED|""A7""FB AF ED|[1 ""D""D3A, DE:|[2 ""D""D3A Bc|
""D""d4-d d|""Dmaj7""dc BA Bc|""D6""d3B AF|""D""D4 d2|
""Em""e4 ef|e2 d2 e2| ""Bm""f3a fe|dc BA Bc|
""G""d4 de|d2 c2 B2| ""D""A3B AG|FE DA, DE|
""D""F2 d2 ""G""B2| ""D""A3D ED|""A7""FB AF ED|[1 ""D""D3A Bc:|[2 ""D""D6|]"
I,3/4,1/8,D,1/4=90,"dc BA|:F2 FE DE|F2 dc BA|F2 FE DF|G3F GA|
B2 BA GF|E3F GA|BA Bc BA||1 F2 dc BA:|2 d2 DF Ad||
c2 cB AB|DF BF AF|EB Ec Ec|d2 DF Ad|
c2 cB AB|DF BF AF|EA Ec Ec|[1 d2 DF Ad:|[2 d4 d2|]"
I,3/4,1/8,D,1/4=90,"|:fe fg fe|dB AFD2|fe fg fe|dB AFD2|
ed ef ed|c3 d cB|AE AB cA|dB AF Ad|
|fe fg fe|dB AFD2|fe fg fe|dB AF D2|
ed ef ed|c3 d cB|AB AG FE|[1 D3 F Ad:|[2 D3 d dc||
dA FA dA|B3 d dB|cA Bc de|f3 f df|
bf df bf|g3 e ed|ce Ac ae|f3 d dc|
BF FB BF|G3 e ed|cB AG FE|F4F2|
GF GA Bc|de f3f|ge ce BA|[1 d3 d dc:|[2 d3 F Ad|]"
I,3/4,1/8,C,1/4=90,"|:""G7"" G2 A2B2|""C""c4 B2|""F""A4 G2|""C""c6|""Am""E4 A2|""Em""G4 E2|""Dm""D4 C2|""G7""D6|
E4 F2|""C""G4 G2|""Am""E4 C2|""Dm""F4 E2|""G7""D4 B,2|""C""C6-|""F""C6-|""C""C6:|
""C""z2 C2 D2|E4 G2|c4 A2|""G""B6-|B2 B2c2|""Dm""d4 c2|B4 A2|""G7""G6-|
G4 A2|B4 c2|""Dm7""d4 e2|d4 c2|""G7""B4 A2|G6|""Dm7""F2 E2 F2|""G7""D6||
""G7"" G2 A2B2|""C""c4 B2|""F""A4 G2|""C""c6|""Am""E4 A2|""Em""G4 E2|""Dm""D4 C2|""G7""D6|
E4 F2|""C""G4 G2|""Am""E4 C2|""Dm""F4 E2|""G7""D4 B,2|""C""C6-|""F""C6-|""C""C6|]"
I,3/4,1/8,D,1/4=90,"FE|""D""DA, DF Ad|""A""c3d eg|""D""f2 d2 A2|""G""B3G D2|
""G""B3c d2|""D""F3G A2|1 ""Em""Bc dA F2|""A""E3G FE:|
|2 ""Em""Bc dF ""A7""E2|""D""D3c de||
""Bm""fB Bc d2|""A""eA AB c2|""G""d2 c2 B2|""D""A4 FD|
""G""B2 BA FA|""D""D3F Ad|[1 ""E9""f2 fe df|""A""e3c ""D""de:|
|2 ""E9""f2 fe ""A7""dc|""D""d6|]"
I,3/4,1/8,C,1/4=90,"|""C""G3A G2|G2 E2 G2|""Am""c2 c2 d2|""Em""e6|
""F""f3e d2|""C""e2 d2 c2|""Dm""A2 A2 G2|""G7""G6|
""C""G3A G2|G2 E2 G2|""Am""c2 c2 d2|""Em""e4 f2|
""F""g3e c2|""G7""de3 d2|""F""c6|""C""c6||
""C""g3e c2|""Am""c2 d2 e2|""Dm""d3c d2|""G7""G6|
""C""G2 A2 B2|""Am""c2 d2 e2|""Dm""f3e f2|""G7""d6|
""C""g3e c2|""Am""c2 d2 e2|""Dm""d3e d2|""G7""G4 f2|
""C""e2 d2 c2|""G7""e2 e2 d2|""F""c6|""C""c6|]"
I,3/4,1/8,D,1/4=90,"A2|""D""A3B A2|F2 E2 D2|""G""E2 D2 B,2|""D""D4 A,2|
D2 D2 F2|A2 F2 D2|""A7""E6-|E4 A2|
""D""A3B A2|F2 E2 D2|""G""E2 D2 B,2|""D""D4 A,2|
""D""D2 D2 F2|""A7""G2 F2 E2|""D""D6-|D4 D2|
""A7""C2 C2 D2|E4 E2|""D""D2 D2 F2|A4 A2|
A2 A2 F2|D2 G2 F2|""A7""E6-|E4 A2|
""D""A3B A2|F2 E2 D2|""G""E2 D2 B,2|""D""D4 A,2|
D2 D2 F2|""A7""G2 F2 E2|""D""D6|]"
I,3/4,1/8,D,1/4=90,"AF|D4 DA|F A3 cA|d4 cA|B G3 GB|
D4 DA|F A3 cA|dB G2 F2|E4 EA|
D4 DA|F A3 cA|d4 cA|B d3 (3BdB|
AF D3 A|BG d2 (3FAF|E4 {G}ED |D4||
A2|f2 d2 A2|e4 cA|d4 cA|B G3 A2|
f2 d2 A2|e4 cA|dB G2 F2|E4 A2|
f2 d2 A2|e4 cA|d4 cA|B d3 (3BdB|
AF D3 A|Bc d2 (3FAF|E4 {G}ED|D4|]"
I,3/4,1/8,F,1/4=90,"FG|""F""A2 c2 FG|""F6""Ac3 fg|""F7""a4 ag|""Bb""fd4f|""F""fc4c|""Dm7""d2 c2 A2|""G7""G4 GA|""C7""G4 FG|
""F""Ac3 FG|""F6""Ac3 fg|""F7""a4 ag|""Bb""fd4f|""F""fc3 A2|""C7""_B2 A2 G2|""F""F6|""F""F4 fg||
""F""a4 aa|""A7""g4 ag|""Bb""f3d f2|""F""dc3 de|""F""f2 c2 A2|""Dm7""d2 c2 A2|""G7""G4 GA|""C7""G4 FG|
""F""Ac3 FG|""F6""Ac3 fg|""F7""a4 ag|""Bb""fd4f|""F""fc3 A2|""C7""_B2 A2 G2|""Bb""F6|""F""F6|]"
I,3/4,1/8,G,1/4=90,"D2| ""G""B2 B3B|""Gmaj7""B3A B2| ""Am""c3E A2| ""D7""G2 F2 E2|
""G""D3E F2| ""Em""G3F G2| ""Am9""B2 A2 G2| ""D7""A4 DG|
""G""B2 B3B|""Gmaj7""B3A B2| ""Am""c3E A2| ""D7""G2 F2 E2|
""G""D3G B2| ""Em""d2 c2 B2| ""D7""A2 E2 F2| ""G""G4 G2||
""D7""A3A A2| A3A B2| ""Am""c3B A2| ""G""B2 G2 G2|
""Em""G3G G2| G3F G2| ""A7""B2 A2 G2| ""D7""A4 DG|
""G""B3B B2| ""Gmaj9""B3A B2| ""Am""c3E A2| ""D7""G2 F2 E2|
""G""D3G B2| ""Em""d2 c2 B2| ""D7""A2 E2 F2| ""G""G4 D2|]"
I,3/4,1/8,A,1/4=90,"ed|:""A""c3B cd|e2 c2 A2|""D""d3c de|f2 a2 af|
""A""e2 c2 B2|""F#m""A2 B2 c2|""Bm""B6-|B4 ed|
""A""c3 B cd|e2 c2 A2|""D""d3 c de|f2 a2 af|
""A""e2 c2 A2|""E7""B4 e2|""A""A6-|A4 e2:|
""A""a3g af|e2 c2 A2|""D""d3c de|f2 a2 af|
""A""e2 c2 B2|""F#m""A2 B2 c2|""Bm""B6-|B4 e2|
|[1 ""A""a3g af|e2 c2 A2|""D""d3c de|f2 a2 af|
""A""e2 c2 A2|""E7""B4 e2|""A""A6-|""A""A4 e2:|
|[2 ""A""c3B cd|e2 c2 A2|""D""d3c de|f2 a2 af|
""A""e2 c2 A2|""E7""B4 e2|""A""A6-|A6|]"
I,3/4,1/4,D,1/4=90,"|FFE| DFA|dcB| A2D|FFE| DFA|BAF |E2A|
ABA |ABc|ded| B2c|dAd| cBA|AEF| D2D||"
I,3/4,1/8,D,1/4=90,"FG|:A2 A2 FA|d2 dc cc|c2 B2 Bc|B2 A2 g2|
f2 fg af|d2 de fd|g2 ga fg|e2 ef (3gfe|
f2 g2 a2|d2 dc cd|c2 B2 Bc|B2 A2 g2|
f2 fg af|d2 de fd|g2 e2 c2|[1 d4 FG:|[2 d4 A2|
|:B2 d2 B2|A2 G2 F2|E2 EE DE|F2 D2 A,2|
B,2 B,C DE|(3EFE DC DE|F2 A2 GF|
|[1 ED EF GA:|[2 DE F2 A2:|3 EF G2 A2:|4 D6:|"
I,3/4,1/4,G,1/4=90,"|""G""B2 F|""G7""A2 G|""C""E G2|""G""D3|D2E|""Em""G2B|
""A7""A2B|""D7""A3|""G""B2F|A2G|""C""EG2|""G""D3|
D2E|""Em""G2B|""D7""A2G|""G""G3|d2d|""G7""B2G|""C""e2G|
""G""d3|d2d|""Em""B2A|""A7""GFG|""D7""A3|""G""B2F|
""B7""A2G|""C""EG2|""G""D3|D2E|""Em""G2B|""D7""A3|""G""G3||"
I,3/4,1/4,G,1/4=90,"GA|""G""B3|""G7""A2 G|""C""A2 G|""A7""E2 G|""G""D2 E|""Em""G2 B|""A7""A3-|""D7""AG A|
""G""B3|""G7""A2 G|""C""A2G|""A7""E2 G|""G""D2 B|""D7""B2A|""G""G3-|GA B|
""D7""c2 B|""G""c2 d|""C""e2 e|""D7""d2 B|""G""d2 B|""G7""A2 G|""A7""A3-|""D7""A G A|
""G""B2 B|""G7""A2 G|""C""A2 G|""A7""E2 G|""G""D2 B|""D7""B2 A|""G""G3-|G2||"
I,3/4,1/4,D,1/4=90,"[|E2F|B3|A2F|A3|F2E|D2d|cd2|
e3|f2B|B2A|Ad2|F3|E3|FA2|B3|B3|]"
I,3/4,1/4,A,1/4=90,"AA/2cc/2| ee/2c3/2|ee/2c3/2| ec/2BE/2|AA/2cc/2| ee/2cE/2|AA/2Bc/2|BB/2A3/2|
AA/2cc/2| e/2e/2e/2c3/2|e/2e/2e/2c3/2| e/2e/2c/2B3/2|AA/2cc/2|e/2e/2e/2cE/2|AA/2Bc/2| BB/2A3/2||"
I,3/4,1/4,A,1/4=90,"F|F2E|DFA|B3|A2D|F2F|A2F|E3-|E2A|
d2d|ccA|B2A|DDE|FAF|EFE|D3-|D2||"
I,3/4,1/4,G,1/4=90,"F |G>AG| F>ED|d3| e>fg|d>cB| A2G|E3-| E2F |
G>AG| F>ED|d3| e>fg|d>cB| A2G|G3- G2d||
d>ef| g2g|g3| g>fe|d>cB| {B}A2G|E3-| E2F |
G>AG| F>ED|d3|e>fg|d>cB| A2G|G3- |G2||"
I,3/4,1/4,A,1/4=90,"e|""A""e3/2 d/2c|cBE|""D""AGF|""A""EAc|
""D""d3/2 e/2f|""A""ecA|""B7"" (3A/2B/2A/2 G A|""E7""B2e|
""A""e3/2 d/2c|cBE|""D""AGF|""A""EAc|
""D""d3/2 e/2f|""A""ecA|""E7""dBG|""A""A2E|]"
I,3/4,1/4,G,1/4=90,"|B3/2 A/2 G|Bcd|A2 A|A2 c|
B3/2 A/2 G|EDE|G3|G2 c|
B3/2 A/2 G|Bcd|A2 A|A2 c|
B3/2 A/2 G|EDE|G3|G2 d|
g2 g|g3/2 f/2 e|d2 d|d2 c|
B3/2 A/2 G|Bcd|A3|A2 d/2d/2|
g2 g|g3/2 f/2 e|d2 d|d2 c/2c/2|
B3/2 A/ G|A3/2 c/2 F|G3|G3|"
I,3/4,1/8,D,1/4=90,"g2| ""A7""f4 e2| ""D""d6| A6-|A4 A2|d4 f2| ""A7""e6-|e4 e2| e2 d2 e2|
""D""f6-|f4 f2| ""A7""g2 f2 g2|""D""a6| d6-|d4 f2| ""A7""e4 e2|
e2 d2 e2| ""D""f4 g2| ""A7""f4 e2| ""D""d6|A6-|A4 f2| ""G""g2 f2 g2| ""D""a6|
d6-|d4 f2| ""G""g2 f2 e2| ""D""f4 e2|d6-|d4 d2| ""C""=c4 e2| ""D""d6-|d4:|"
I,3/4,1/8,G,1/4=90,"D2|""G""B3A Bd|""Em""B3A Bd|""Am""E3B AB|""D7""D4 D2|""G""B3A Bd|""Em""B3A Bd|""C""G3B ""D7""(3AGF|""G""G4:|
(3Bcd|""Em""e3f ed|""Bm""B3A Bd|""Em""ef ed (3Bcd|e4 Bd|e3f ed|""Bm""B3A Bd|""D7""D3B (3AGF|""G""G3A Bd|
""Em""e3f ed|""Bm""B3A Bd|""G""gf ed Bd|""Em""e4 (3Bcd|e3f ed|""Bm""B3A Bd|""D7""D3B (3AGF|""G""G4 |]"
I,3/4,1/4,Am,1/4=90,"A3|A3|e>de|edB| G3|G2A|B>AB|A>GE |c3|d3|
e>^fg|B>AG|A>Be|dcB|A3|A3||
e3|e3| deg|edB| G2G|d2B|e2e|d>cB|A3| c3|
d>eg|B>AG|A>Be|dcB|A3A3||"
I,3/4,1/8,D,1/4=90,"(FG)|A2 f2 e2|d2 c2 B2|A2 F2 B2|A4 FG|A2 f2 e2|d2 c2 d2|e4 (ef)|e4(FG)|
A2 f2 e2|d2 c2 B2|A2 F2 B2|A4 A2|B2 g2 f2|e2 B2 c2|d2 f2 e2|d4:|
(FG)|A4 f2|A4 A2|B4 g2|B4 B2|c4 c2|B2 c2 B2|A2 F2 B2|A4 FG|
A4 f2|A4 A2|B4 g2|B4 B2|c2B2A2|g2f2 e2|d3 cde|d4:|"
I,3/4,1/8,Bm,1/4=90,"BA|FB B2 Bc|de dc BA|GA Bc df|g3f ed|ca a3c|Bg g3g|f3e df|ed cB AG|
|FB B2 Bc|de dc BA|GA Bc df|g3f ed|ca a3c|Bg g3a|b3f dc|B4 A2||
f2 fe dc|B2 AG FE|D2 d2 c2|B3A AG|FB Bc d2|GB Bc de|f2 fe df|e4 de|
f2 fe dc|B2 AG FE|D2 d2 c2|B3A AG|FB Bc d2|GB Bc de|f2 fe dc|d4:|"
I,3/4,1/8,A,1/4=90,"E AB|""A""c4 dc|""E""B3B AB|""A7""ca3 (3gag|""D""f3f ec|""A""e2 A2 B2| ""F#m""ce3 (3cdc|""Bm""B6|""E7""B3E AB|
""A""c4 dc|""E""B3B AB|""A7""ca3 (3gag|""D""f3f ec|""A""e2 A2 Bc|""E""Bc2c BA|""A""A6|A3 :|
|:ag|""D""f4 ed|fa3 (3faf|""A""e4 (3edc|c4 AB|c4 BA|""F#m""ca3 (3cec|""E""B6|[1 B4 ag|
""D""f4 ed|fa3 (3faf|""A""e4 (3edc|c4 AB|""F#m""ca3 c2| ""E""Bc3 B2| ""A""A6| A4:|
[2 B3E AB|""A""c4 dc|""E""B3B AB|""F#m""ca3 (3gag|""D""f3f ec|""A""e2 A2 Bc|""E""Bc2c BA|""A""A6|A3:|"
I,3/4,1/8,A,1/4=90,"A2B2|:""A""c3 BA2|""D""f4ec|""A""e4-ef|e4AB|\
""F#m""c4BA|""D""f4ec|""Bm""B4-Bc|""E""B4ce|
""F#m""c3 BA2|""D""f4ec|""A""e4A2|""D""a4f2|\
""A""e4Ac|""E""B4A2|""A""A6 -|[1 A2A2B2:|[2 A2c2e2||
|:""D""f4df|a4gf|""A""e4-ef|e4ce|\
""F#m""f4ec|e4Ac|""Bm""B4-Bc|""E""B4ce|
""D""f4df|a4gf|""A""e4dc|""D""a4d2|\
""A""c4Ac|""E""B4A2|""A""A6 -|[1 A2c2e2:|[2 A2 z2|"
I,3/4,1/4,D,1/4=90,"""G""D G A|B d >c|B A G|D2 E|""C""C2 C/2C/2|E G>F|E3|""D""D3|
""G""D G A|B d >c|B A G|D2 E|""C""C2 C/2C/2|E F G|""D""A3|1 A3:|2 A2||
|:B/2c/2|""G""d B d|g2 f|""C""e3|""G""d3|""C""c e d|c B A|""G""B2 c/2B/2|""D""ABc|
""G""d B d|g2 f|""C""e3|""G""d3|""C""c e d|c B A|""G""B2 c/2B/2|""D""ABc|
""Em""BAG|F2G|""C""G2 G|C D C|""G""B, D G|""D""F E F|1 ""G""G3-|G2:|2 ""G""G3-|G3|"
I,3/4,1/4,C,1/4=90,"|:C>EG|c2B|AFA|G2A/2B/2|c>dc|cGE|
FA,C|B,DG,|C>EG|c2B|AFA|G2F/2E/2|[1 F>A,C|
B,A,B,|C3|C2 G,:|[2 F>Ac|BAB|c3|c2||
e/2f/2|g>ec|c2B|AfA|G2A/2B/2|
c>Bc|egf|edc|d2e/2f/2|g>ec|c2B|
AfA|G2e/2f/2|gec|Bdf|ecB|c2e/2f/2|
g>ec|c2B|AfA|G2E/2F/2|Gce|gfe|
dBG|FED|C>EG|c2B|AFA|G2F/2E/2|
F>A,C|B,A,B,|C3|C3|]"
I,3/4,1/8,F,1/4=90,"FG|""F""A3d2 c/A/|""C""G3d cA|""Dm""F3G FE|""Bb""DE4F|""F""CF3 A2|
[1,3 ""Bb""B4 AG|""F""FC3 A_A|""C7""G4 :|[2,4 ""Gm""B3A GF|""Bb""DF4E|""F""F4 :|
F2| ""Bb""d3e2f|""F""c4 ef|""Gm""B3A GF|""F""A6|""A7""A3=B ^cA|""Dm""d4 cB|
""F""A/2c3/2 F2 EF|""C7""G4 FG|""F""A3d2 c/A/|""C""G3d cA|""Dm""F3G FE|
""Bb""DE4F|""F""CF3 A2| ""Gm""B3A GF|""Bb""DF4E|""F""F4 :|"
